og_coord,astar_coord,dist
"(3088.0, 3984.0)","(2992.0, 3424.0)",688.0
"(4112.0, 1168.0)","(3536.0, 1088.0)",688.0
"(4096.0, 2704.0)","(3680.0, 2464.0)",688.0
"(3040.0, 4016.0)","(2496.0, 3904.0)",688.0
"(3360.0, 3728.0)","(2992.0, 3424.0)",704.0
"(4112.0, 2704.0)","(3680.0, 2464.0)",704.0
"(4048.0, 1248.0)","(3536.0, 1088.0)",704.0
"(1920.0, 736.0)","(2464.0, 768.0)",704.0
"(2992.0, 4080.0)","(2496.0, 3904.0)",704.0
"(4144.0, 2688.0)","(3680.0, 2464.0)",720.0
"(2992.0, 4096.0)","(2496.0, 3904.0)",720.0
"(3376.0, 3728.0)","(2992.0, 3424.0)",720.0
"(3008.0, 4096.0)","(2496.0, 3904.0)",736.0
"(4032.0, 2816.0)","(3680.0, 2464.0)",736.0
"(3856.0, 3008.0)","(3680.0, 2464.0)",752.0
"(3872.0, 3024.0)","(3680.0, 2464.0)",784.0
"(2864.0, 2288.0)","(2992.0, 1776.0)",800.0
"(2272.0, 4176.0)","(2304.0, 3600.0)",800.0
"(2816.0, 2304.0)","(3424.0, 2512.0)",848.0
"(4176.0, 1392.0)","(3888.0, 1920.0)",848.0
"(2288.0, 4208.0)","(2304.0, 3600.0)",848.0
"(2816.0, 2288.0)","(3424.0, 2512.0)",864.0
"(2832.0, 2272.0)","(3424.0, 2512.0)",864.0
"(2816.0, 2256.0)","(3424.0, 2512.0)",896.0
"(4208.0, 1376.0)","(3888.0, 1920.0)",896.0
"(2784.0, 2272.0)","(3424.0, 2512.0)",912.0
"(4192.0, 1344.0)","(3888.0, 1920.0)",912.0
"(768.0, 3088.0)","(1552.0, 3088.0)",944.0
"(736.0, 3056.0)","(1552.0, 3088.0)",944.0
"(736.0, 3088.0)","(1552.0, 3088.0)",976.0
"(4288.0, 1280.0)","(3536.0, 1088.0)",976.0
"(2688.0, 2272.0)","(3424.0, 2512.0)",1008.0
"(4384.0, 2768.0)","(3680.0, 2464.0)",1040.0
"(4352.0, 2848.0)","(3680.0, 2464.0)",1088.0
"(2736.0, 1968.0)","(2240.0, 2528.0)",1104.0
"(2640.0, 2208.0)","(3424.0, 2512.0)",1120.0
"(2672.0, 2160.0)","(3424.0, 2512.0)",1136.0
"(624.0, 2912.0)","(1552.0, 3088.0)",1136.0
"(544.0, 2976.0)","(1552.0, 3088.0)",1152.0
"(2656.0, 2176.0)","(3024.0, 2928.0)",1152.0
