og_coord,starfish_coord,dist
"(3124.0, 758.0)","(3093.0, 660.0)",102.786
"(2678.0, 3073.0)","(2583.0, 3113.0)",103.078
"(3098.0, 2477.0)","(3156.0, 2390.0)",104.561
"(927.0, 27.0)","(985.0, 115.0)",105.394
"(2286.0, 1842.0)","(2194.0, 1894.0)",105.679
"(701.0, 450.0)","(807.0, 444.0)",106.17
"(825.0, 907.0)","(740.0, 971.0)",106.4
"(1418.0, 1428.0)","(1445.0, 1325.0)",106.48
"(3290.0, 2533.0)","(3389.0, 2574.0)",107.154
"(2569.0, 2017.0)","(2673.0, 1991.0)",107.201
"(2891.0, 1963.0)","(2968.0, 2038.0)",107.49
"(676.0, 380.0)","(575.0, 417.0)",107.564
"(713.0, 111.0)","(632.0, 40.0)",107.713
"(1554.0, 1550.0)","(1542.0, 1442.0)",108.665
"(1875.0, 346.0)","(1837.0, 244.0)",108.849
"(679.0, 453.0)","(695.0, 561.0)",109.179
"(2273.0, 2372.0)","(2243.0, 2477.0)",109.202
"(2383.0, 2265.0)","(2393.0, 2374.0)",109.458
"(822.0, 646.0)","(915.0, 704.0)",109.604
"(2016.0, 2444.0)","(2082.0, 2532.0)",110.0
"(670.0, 1056.0)","(740.0, 971.0)",110.114
"(2617.0, 2183.0)","(2549.0, 2270.0)",110.422
"(809.0, 673.0)","(915.0, 704.0)",110.44
"(1466.0, 869.0)","(1563.0, 924.0)",111.508
"(659.0, 1085.0)","(548.0, 1072.0)",111.759
"(2590.0, 2166.0)","(2549.0, 2270.0)",111.79
"(1209.0, 2444.0)","(1134.0, 2361.0)",111.866
"(3353.0, 2359.0)","(3241.0, 2365.0)",112.161
"(3109.0, 3499.0)","(3220.0, 3516.0)",112.294
"(536.0, 1759.0)","(461.0, 1843.0)",112.61
"(3004.0, 3314.0)","(3095.0, 3382.0)",113.6
"(2964.0, 1924.0)","(2968.0, 2038.0)",114.07
"(1817.0, 39.0)","(1742.0, 125.0)",114.11
"(265.0, 1801.0)","(151.0, 1796.0)",114.11
"(784.0, 2385.0)","(672.0, 2408.0)",114.337
"(1629.0, 795.0)","(1537.0, 727.0)",114.403
"(1740.0, 426.0)","(1676.0, 521.0)",114.547
"(2944.0, 1925.0)","(2968.0, 2038.0)",115.521
"(1709.0, 1700.0)","(1792.0, 1782.0)",116.675
"(3105.0, 2570.0)","(3215.0, 2612.0)",117.745
"(1625.0, 823.0)","(1563.0, 924.0)",118.512
"(2508.0, 3542.0)","(2618.0, 3496.0)",119.231
"(1813.0, 2198.0)","(1694.0, 2189.0)",119.34
"(2895.0, 3126.0)","(2792.0, 3065.0)",119.708
"(1764.0, 339.0)","(1837.0, 244.0)",119.808
"(965.0, 1001.0)","(1079.0, 964.0)",119.854
"(677.0, 354.0)","(575.0, 417.0)",119.887
"(1814.0, 2182.0)","(1694.0, 2189.0)",120.204
"(666.0, 338.0)","(575.0, 417.0)",120.507
"(2985.0, 3332.0)","(3095.0, 3382.0)",120.83
"(2549.0, 1990.0)","(2658.0, 1936.0)",121.643
"(493.0, 140.0)","(569.0, 43.0)",123.227
"(2300.0, 2195.0)","(2193.0, 2258.0)",124.169
"(687.0, 184.0)","(787.0, 258.0)",124.403
"(800.0, 656.0)","(915.0, 704.0)",124.615
"(1995.0, 2442.0)","(2082.0, 2532.0)",125.176
"(2385.0, 2164.0)","(2415.0, 2041.0)",126.606
"(374.0, 87.0)","(282.0, 174.0)",126.621
"(2416.0, 2168.0)","(2415.0, 2041.0)",127.004
"(3278.0, 2501.0)","(3215.0, 2612.0)",127.632
"(1870.0, 2462.0)","(1886.0, 2589.0)",128.004
"(934.0, 994.0)","(974.0, 872.0)",128.39
"(1336.0, 519.0)","(1410.0, 414.0)",128.456
"(3321.0, 2264.0)","(3241.0, 2365.0)",128.845
"(759.0, 673.0)","(695.0, 561.0)",128.996
"(3127.0, 1946.0)","(3246.0, 1896.0)",129.077
"(696.0, 369.0)","(575.0, 417.0)",130.173
"(781.0, 659.0)","(695.0, 561.0)",130.384
"(1617.0, 1550.0)","(1542.0, 1442.0)",131.488
"(1951.0, 3321.0)","(2048.0, 3230.0)",133.004
"(1440.0, 872.0)","(1563.0, 924.0)",133.54
"(1446.0, 856.0)","(1563.0, 924.0)",135.326
"(3508.0, 2508.0)","(3389.0, 2574.0)",136.077
"(2619.0, 2153.0)","(2549.0, 2270.0)",136.341
"(3096.0, 3150.0)","(3167.0, 3033.0)",136.858
"(2866.0, 720.0)","(2731.0, 697.0)",136.945
"(197.0, 1638.0)","(60.0, 1646.0)",137.233
"(3079.0, 3139.0)","(3167.0, 3033.0)",137.768
"(2519.0, 1933.0)","(2658.0, 1936.0)",139.032
"(1780.0, 2498.0)","(1886.0, 2589.0)",139.703
"(774.0, 707.0)","(915.0, 704.0)",141.032
"(1832.0, 3572.0)","(1837.0, 3713.0)",141.089
"(287.0, 1834.0)","(151.0, 1796.0)",141.209
"(3422.0, 2359.0)","(3531.0, 2269.0)",141.354
"(1002.0, 1388.0)","(1138.0, 1429.0)",142.046
"(2990.0, 913.0)","(3081.0, 1023.0)",142.762
"(3381.0, 2335.0)","(3241.0, 2365.0)",143.178
"(2637.0, 2130.0)","(2673.0, 1991.0)",143.586
"(293.0, 1774.0)","(151.0, 1796.0)",143.694
"(1782.0, 3580.0)","(1837.0, 3713.0)",143.924
"(1682.0, 1688.0)","(1792.0, 1782.0)",144.693
"(1269.0, 450.0)","(1410.0, 414.0)",145.523
"(2411.0, 2188.0)","(2415.0, 2041.0)",147.054
"(1813.0, 462.0)","(1676.0, 521.0)",149.164
"(2916.0, 1898.0)","(2968.0, 2038.0)",149.345
"(2095.0, 3642.0)","(2241.0, 3610.0)",149.466
"(2829.0, 810.0)","(2731.0, 697.0)",149.576
"(2521.0, 3614.0)","(2618.0, 3496.0)",152.751
"(2536.0, 823.0)","(2672.0, 893.0)",152.958
"(739.0, 708.0)","(695.0, 561.0)",153.444
"(3335.0, 1108.0)","(3207.0, 1194.0)",154.208
