og_coord,closest_coord,dist
"(2689.4, 913.25)","(2664.0, 914.929)",25.455
"(2209.558, 3036.115)","(2232.067, 3024.133)",25.499
"(2232.067, 3024.133)","(2209.558, 3036.115)",25.499
"(3091.75, 3146.6)","(3082.75, 3170.5)",25.538
"(3082.75, 3170.5)","(3091.75, 3146.6)",25.538
"(2952.762, 3217.81)","(2978.263, 3214.697)",25.69
"(2978.263, 3214.697)","(2952.762, 3217.81)",25.69
"(4701.134, 2972.825)","(4676.051, 2967.114)",25.725
"(2798.776, 2274.122)","(2819.527, 2258.782)",25.805
"(2819.527, 2258.782)","(2798.776, 2274.122)",25.805
"(2769.897, 1318.588)","(2784.197, 1340.098)",25.83
"(2786.5, 3371.862)","(2761.78, 3364.136)",25.899
"(2761.78, 3364.136)","(2786.5, 3371.862)",25.899
"(3369.276, 3709.034)","(3385.771, 3729.084)",25.963
"(3280.518, 2519.94)","(3265.022, 2540.775)",25.966
"(2822.171, 2317.614)","(2830.885, 2293.082)",26.034
"(1052.743, 3022.069)","(1058.0, 2996.5)",26.104
"(1092.857, 3021.092)","(1079.867, 2998.44)",26.112
"(2811.867, 1312.44)","(2796.848, 1333.939)",26.226
"(4360.382, 3094.941)","(4338.323, 3080.719)",26.246
"(3949.189, 2375.566)","(3973.31, 2385.948)",26.26
"(2133.0, 3236.0)","(2114.345, 3254.707)",26.419
"(1781.853, 3450.541)","(1756.085, 3456.746)",26.505
"(1756.085, 3456.746)","(1781.853, 3450.541)",26.505
"(3074.085, 2497.726)","(3051.233, 2483.674)",26.827
"(2200.047, 3061.234)","(2209.558, 3036.115)",26.859
"(3190.292, 1881.662)","(3201.0, 1906.337)",26.898
"(3201.0, 1906.337)","(3190.292, 1881.662)",26.898
"(3018.707, 4100.732)","(2992.5, 4106.846)",26.911
"(2775.983, 879.915)","(2786.08, 904.98)",27.022
"(2432.611, 3840.389)","(2406.0, 3845.244)",27.05
"(1099.5, 2979.714)","(1079.867, 2998.44)",27.131
"(3429.429, 3347.327)","(3428.899, 3374.536)",27.214
"(2663.732, 2157.045)","(2687.772, 2169.835)",27.231
"(2687.772, 2169.835)","(2663.732, 2157.045)",27.231
"(3930.031, 1106.125)","(3908.176, 1089.843)",27.253
"(3908.176, 1089.843)","(3930.031, 1106.125)",27.253
"(2796.123, 1364.704)","(2784.197, 1340.098)",27.344
"(4252.0, 1924.448)","(4230.233, 1907.89)",27.349
"(4230.233, 1907.89)","(4252.0, 1924.448)",27.349
"(1969.023, 3027.759)","(1981.571, 3052.083)",27.37
"(1981.571, 3052.083)","(1969.023, 3027.759)",27.37
"(4125.098, 2679.732)","(4126.706, 2707.074)",27.389
"(2649.633, 2211.506)","(2643.262, 2184.8)",27.455
"(4696.314, 2945.486)","(4701.134, 2972.825)",27.761
