og_coord,starfish_coord,dist
"(2251.0, 2647.0)","(2335.0, 2678.0)",89.538
"(1857.0, 2517.0)","(1781.0, 2469.0)",89.889
"(3144.0, 3408.0)","(3099.0, 3486.0)",90.05
"(2613.0, 2334.0)","(2556.0, 2264.0)",90.272
"(3262.0, 2698.0)","(3350.0, 2720.0)",90.708
"(2246.0, 2696.0)","(2335.0, 2678.0)",90.802
"(3138.0, 2228.0)","(3095.0, 2148.0)",90.824
"(2383.0, 2265.0)","(2465.0, 2305.0)",91.236
"(493.0, 1100.0)","(530.0, 1184.0)",91.788
"(759.0, 673.0)","(842.0, 713.0)",92.136
"(713.0, 474.0)","(800.0, 509.0)",93.776
"(2967.0, 1984.0)","(3061.0, 1981.0)",94.048
"(407.0, 1671.0)","(313.0, 1684.0)",94.895
"(753.0, 1139.0)","(739.0, 1233.0)",95.037
"(3191.0, 1887.0)","(3098.0, 1908.0)",95.341
"(1707.0, 179.0)","(1801.0, 198.0)",95.901
"(2864.0, 3121.0)","(2864.0, 3217.0)",96.0
"(2895.0, 3126.0)","(2864.0, 3217.0)",96.135
"(687.0, 184.0)","(751.0, 112.0)",96.333
"(981.0, 1922.0)","(952.0, 1830.0)",96.462
"(1391.0, 186.0)","(1474.0, 136.0)",96.897
"(1306.0, 565.0)","(1275.0, 473.0)",97.082
"(1989.0, 2700.0)","(2078.0, 2739.0)",97.17
"(1652.0, 1219.0)","(1555.0, 1206.0)",97.867
"(703.0, 491.0)","(800.0, 509.0)",98.656
"(2310.0, 3557.0)","(2377.0, 3484.0)",99.086
"(3090.0, 3387.0)","(3099.0, 3486.0)",99.408
"(1554.0, 1550.0)","(1648.0, 1584.0)",99.96
"(448.0, 2859.0)","(466.0, 2958.0)",100.623
"(3200.0, 3482.0)","(3099.0, 3486.0)",101.079
"(2237.0, 1242.0)","(2338.0, 1250.0)",101.316
"(282.0, 465.0)","(191.0, 420.0)",101.518
"(2944.0, 1925.0)","(2905.0, 1831.0)",101.769
"(784.0, 2385.0)","(884.0, 2365.0)",101.98
"(2388.0, 3121.0)","(2475.0, 3175.0)",102.396
"(739.0, 708.0)","(842.0, 713.0)",103.121
"(3035.0, 3303.0)","(2936.0, 3273.0)",103.446
"(3335.0, 1108.0)","(3294.0, 1203.0)",103.47
"(2209.0, 1452.0)","(2175.0, 1354.0)",103.73
"(2284.0, 3530.0)","(2377.0, 3484.0)",103.755
"(2912.0, 28.0)","(2926.0, 131.0)",103.947
