og_coord,closest_coord,dist
"(3503.547, 4925.946)","(3511.548, 4949.949)",25.301
"(3807.585, 3879.594)","(3818.253, 3856.48)",25.457
"(3011.041, 3839.589)","(3000.373, 3816.475)",25.457
"(3818.253, 3856.48)","(3807.585, 3879.594)",25.457
"(1973.579, 9209.146)","(1950.465, 9198.478)",25.457
"(1950.465, 9198.478)","(1973.579, 9209.146)",25.457
"(3903.597, 4160.518)","(3884.928, 4142.738)",25.781
"(3724.019, 2506.979)","(3722.241, 2481.198)",25.842
"(3722.241, 2481.198)","(3724.019, 2506.979)",25.842
"(3703.572, 5186.423)","(3679.569, 5196.202)",25.919
"(3679.569, 5196.202)","(3703.572, 5186.423)",25.919
"(3350.639, 2416.301)","(3324.858, 2419.857)",26.025
"(3324.858, 2419.857)","(3350.639, 2416.301)",26.025
"(3217.289, 3643.12)","(3225.29, 3668.012)",26.146
"(3225.29, 3668.012)","(3217.289, 3643.12)",26.146
"(4586.349, 2188.717)","(4590.794, 2214.498)",26.161
"(4590.794, 2214.498)","(4586.349, 2188.717)",26.161
"(999.235, 9514.962)","(985.011, 9492.737)",26.387
"(985.011, 9492.737)","(999.235, 9514.962)",26.387
"(2925.697, 5366.001)","(2943.477, 5346.443)",26.432
"(3740.021, 2706.115)","(3715.129, 2697.225)",26.432
"(3715.129, 2697.225)","(3740.021, 2706.115)",26.432
"(1323.72, 8455.274)","(1317.497, 8429.493)",26.521
"(1317.497, 8429.493)","(1323.72, 8455.274)",26.521
"(3551.553, 5329.552)","(3557.776, 5303.771)",26.521
"(3700.016, 2937.254)","(3725.797, 2943.477)",26.521
"(1037.462, 9178.031)","(1010.792, 9178.031)",26.67
"(1010.792, 9178.031)","(1037.462, 9178.031)",26.67
"(2955.923, 3825.365)","(2971.925, 3804.029)",26.67
"(4030.724, 2191.384)","(4046.726, 2170.048)",26.67
"(3941.824, 3945.38)","(3939.157, 3972.05)",26.803
"(3939.157, 3972.05)","(3941.824, 3945.38)",26.803
"(1569.973, 8517.504)","(1561.972, 8543.285)",26.994
"(1561.972, 8543.285)","(1569.973, 8517.504)",26.994
"(1261.49, 9358.498)","(1253.489, 9384.279)",26.994
"(1253.489, 9384.279)","(1261.49, 9358.498)",26.994
"(3243.07, 2761.233)","(3269.74, 2756.788)",27.038
"(3269.74, 2756.788)","(3243.07, 2761.233)",27.038
"(1950.465, 5874.509)","(1938.019, 5898.512)",27.038
"(1938.019, 5898.512)","(1950.465, 5874.509)",27.038
"(1037.462, 9915.012)","(1061.465, 9927.458)",27.038
"(1061.465, 9927.458)","(1037.462, 9915.012)",27.038
"(3765.802, 2384.297)","(3792.472, 2378.963)",27.198
"(3796.028, 2783.457)","(3787.138, 2757.677)",27.27
"(2010.917, 9173.586)","(2004.694, 9200.256)",27.386
"(2004.694, 9200.256)","(2010.917, 9173.586)",27.386
"(5174.866, 2674.111)","(5200.647, 2664.332)",27.573
"(5200.647, 2664.332)","(5174.866, 2674.111)",27.573
"(3268.851, 2729.229)","(3269.74, 2756.788)",27.573
"(3713.351, 2664.332)","(3740.91, 2666.11)",27.616
"(3740.91, 2666.11)","(3713.351, 2664.332)",27.616
"(1143.253, 8773.536)","(1139.697, 8745.977)",27.787
"(2955.034, 5519.798)","(2951.478, 5492.239)",27.787
"(2951.478, 5492.239)","(2955.034, 5519.798)",27.787
"(4546.344, 1830.45)","(4538.343, 1803.78)",27.844
"(4538.343, 1803.78)","(4546.344, 1830.45)",27.844
"(4569.458, 1846.452)","(4546.344, 1830.45)",28.113
"(5178.422, 2634.995)","(5162.42, 2611.881)",28.113
"(5162.42, 2611.881)","(5178.422, 2634.995)",28.113
"(3036.822, 3828.032)","(3011.041, 3839.589)",28.253
"(3619.117, 4101.844)","(3612.894, 4129.403)",28.253
"(953.007, 9370.944)","(978.788, 9382.501)",28.253
"(978.788, 9382.501)","(953.007, 9370.944)",28.253
"(4795.263, 1800.224)","(4819.266, 1815.337)",28.365
"(2244.724, 5682.485)","(2218.054, 5672.706)",28.406
"(1621.535, 7496.044)","(1603.755, 7518.269)",28.462
"(3677.791, 5224.65)","(3679.569, 5196.202)",28.504
"(3479.544, 4955.283)","(3506.214, 4965.951)",28.724
"(3391.533, 2859.022)","(3419.981, 2863.467)",28.793
"(2016.251, 5884.288)","(2032.253, 5908.291)",28.848
"(2032.253, 5908.291)","(2016.251, 5884.288)",28.848
