og_coord,closest_coord,dist
"(2.525, 3.56)","(2.525, 3.601)",0.041
"(1.395, 1.248)","(1.358, 1.267)",0.041
"(1.977, 2.689)","(2.0, 2.724)",0.042
"(0.448, 1.073)","(0.423, 1.038)",0.042
"(1.371, 1.202)","(1.33, 1.213)",0.043
"(2.722, 4.226)","(2.722, 4.269)",0.043
"(2.722, 4.269)","(2.722, 4.226)",0.043
"(3.093, 3.976)","(3.075, 3.937)",0.044
"(3.075, 3.937)","(3.093, 3.976)",0.044
"(2.013, 2.084)","(2.054, 2.07)",0.044
"(2.256, 0.879)","(2.296, 0.899)",0.044
"(2.296, 0.899)","(2.256, 0.879)",0.044
"(3.282, 3.635)","(3.328, 3.639)",0.046
"(3.328, 3.639)","(3.282, 3.635)",0.046
"(1.96, 1.942)","(1.927, 1.909)",0.047
"(1.977, 2.115)","(2.013, 2.084)",0.047
"(1.444, 2.252)","(1.417, 2.291)",0.048
"(2.876, 3.52)","(2.907, 3.557)",0.048
"(2.907, 3.557)","(2.876, 3.52)",0.048
"(1.038, 2.29)","(1.02, 2.335)",0.048
"(0.416, 1.109)","(0.448, 1.073)",0.048
"(0.658, 1.168)","(0.707, 1.161)",0.049
"(0.707, 1.161)","(0.658, 1.168)",0.049
"(0.631, 0.652)","(0.678, 0.636)",0.049
"(0.678, 0.636)","(0.631, 0.652)",0.049
"(2.046, 2.525)","(1.998, 2.535)",0.049
"(1.998, 2.535)","(2.046, 2.525)",0.049
"(2.06, 2.754)","(2.09, 2.715)",0.05
"(0.428, 2.63)","(0.463, 2.595)",0.05
"(1.829, 1.064)","(1.796, 1.027)",0.05
"(1.796, 1.027)","(1.829, 1.064)",0.05
"(3.039, 4.246)","(3.043, 4.196)",0.051
"(1.276, 1.801)","(1.23, 1.821)",0.051
"(3.183, 3.835)","(3.232, 3.85)",0.051
"(3.232, 3.85)","(3.183, 3.835)",0.051
"(2.419, 1.267)","(2.443, 1.221)",0.052
"(2.656, 3.315)","(2.663, 3.263)",0.052
"(2.663, 3.263)","(2.656, 3.315)",0.052
"(1.427, 1.86)","(1.389, 1.824)",0.052
"(2.232, 1.604)","(2.276, 1.633)",0.053
"(2.287, 1.805)","(2.283, 1.858)",0.054
"(3.228, 3.633)","(3.282, 3.635)",0.055
"(1.074, 2.245)","(1.038, 2.29)",0.057
"(1.545, 2.32)","(1.529, 2.376)",0.058
"(3.027, 3.28)","(3.087, 3.273)",0.06
"(3.087, 3.273)","(3.027, 3.28)",0.06
"(1.411, 2.38)","(1.472, 2.38)",0.061
"(2.045, 2.591)","(2.052, 2.653)",0.062
"(2.07, 2.196)","(2.007, 2.196)",0.063
"(1.406, 2.191)","(1.381, 2.249)",0.064
"(1.337, 1.615)","(1.275, 1.647)",0.07
"(2.336, 0.841)","(2.296, 0.899)",0.071
"(0.391, 2.569)","(0.428, 2.63)",0.071
"(3.126, 3.883)","(3.075, 3.937)",0.074
"(3.265, 3.921)","(3.232, 3.85)",0.078
"(3.283, 3.761)","(3.355, 3.73)",0.078
"(2.648, 4.198)","(2.722, 4.226)",0.079
